Time,Machine name,Batch
01:29:47.146,T3X0_001,Default
01:30:17.410,T3X0_001,Default
01:30:47.690,T3X0_001,Default
01:31:17.938,T3X0_001,Default
01:31:48.218,T3X0_001,Default
01:32:18.482,T3X0_001,Default
01:32:48.761,T3X0_001,Default
01:33:19.025,T3X0_001,Default
01:33:49.289,T3X0_001,Default
01:34:19.569,T3X0_001,Default
01:34:49.848,T3X0_001,Default
01:35:20.112,T3X0_001,Default
01:35:50.361,T3X0_001,Default
01:36:20.640,T3X0_001,Default
01:36:50.920,T3X0_001,Default
01:37:21.184,T3X0_001,Default
01:37:51.464,T3X0_001,Default
01:38:21.712,T3X0_001,Default
01:38:51.992,T3X0_001,Default
01:39:22.256,T3X0_001,Default
01:39:52.504,T3X0_001,Default
01:40:22.768,T3X0_001,Default
01:40:53.048,T3X0_001,Default
01:41:23.280,T3X0_001,Default
01:41:53.560,T3X0_001,Default
01:42:23.824,T3X0_001,Default
01:42:54.104,T3X0_001,Default
01:43:24.383,T3X0_001,Default
01:43:54.647,T3X0_001,Default
01:44:24.911,T3X0_001,Default
01:44:55.175,T3X0_001,Default
01:45:25.455,T3X0_001,Default
01:45:55.719,T3X0_001,Default
01:46:25.983,T3X0_001,Default
01:46:56.262,T3X0_001,Default
01:47:26.526,T3X0_001,Default
01:47:56.790,T3X0_001,Default
01:48:27.070,T3X0_001,Default
01:48:57.334,T3X0_001,Default
01:49:27.598,T3X0_001,Default
01:49:57.846,T3X0_001,Default
01:50:28.157,T3X0_001,Default
01:50:58.421,T3X0_001,Default
01:51:28.685,T3X0_001,Default
01:51:58.949,T3X0_001,Default
01:52:29.213,T3X0_001,Default
01:52:59.477,T3X0_001,Default
01:53:29.741,T3X0_001,Default
01:53:59.990,T3X0_001,Default
01:54:30.254,T3X0_001,Default
01:55:00.517,T3X0_001,Default
01:55:30.765,T3X0_001,Default
01:56:01.028,T3X0_001,Default
01:56:31.291,T3X0_001,Default
01:57:01.555,T3X0_001,Default
01:57:31.833,T3X0_001,Default
01:58:02.112,T3X0_001,Default
01:58:32.376,T3X0_001,Default
01:59:02.639,T3X0_001,Default
01:59:32.933,T3X0_001,Default
02:00:03.197,T3X0_001,Default
02:00:33.492,T3X0_001,Default
02:01:03.771,T3X0_001,Default
02:01:34.035,T3X0_001,Default
02:02:04.283,T3X0_001,Default
02:02:34.563,T3X0_001,Default
02:03:04.826,T3X0_001,Default
02:03:35.075,T3X0_001,Default
02:04:05.370,T3X0_001,Default
02:04:35.665,T3X0_001,Default
02:05:05.913,T3X0_001,Default
02:05:36.192,T3X0_001,Default
02:06:06.456,T3X0_001,Default
02:06:36.720,T3X0_001,Default
02:07:06.984,T3X0_001,Default
02:07:37.233,T3X0_001,Default
02:08:07.528,T3X0_001,Default
02:08:37.808,T3X0_001,Default
02:09:08.072,T3X0_001,Default
02:09:38.336,T3X0_001,Default
02:10:08.600,T3X0_001,Default
02:10:38.864,T3X0_001,Default
02:11:09.128,T3X0_001,Default
02:11:39.392,T3X0_001,Default
02:12:09.640,T3X0_001,Default
02:12:39.920,T3X0_001,Default
02:13:10.184,T3X0_001,Default
02:13:40.463,T3X0_001,Default
02:14:10.727,T3X0_001,Default
02:14:40.991,T3X0_001,Default
02:15:11.271,T3X0_001,Default
02:15:41.535,T3X0_001,Default
02:16:11.830,T3X0_001,Default
02:16:42.078,T3X0_001,Default
02:17:12.327,T3X0_001,Default
02:17:42.575,T3X0_001,Default
02:18:12.839,T3X0_001,Default
02:18:43.119,T3X0_001,Default
02:19:13.398,T3X0_001,Default
02:19:43.662,T3X0_001,Default
02:20:13.942,T3X0_001,Default
02:20:44.222,T3X0_001,Default
02:21:14.486,T3X0_001,Default
02:21:44.765,T3X0_001,Default
02:22:15.029,T3X0_001,Default
02:22:45.293,T3X0_001,Default
02:23:15.557,T3X0_001,Default
02:23:45.852,T3X0_001,Default
02:24:16.116,T3X0_001,Default
02:24:46.396,T3X0_001,Default
02:25:16.676,T3X0_001,Default
02:25:46.955,T3X0_001,Default
02:26:17.235,T3X0_001,Default
02:26:47.483,T3X0_001,Default
02:27:17.747,T3X0_001,Default
02:27:48.011,T3X0_001,Default
02:28:18.275,T3X0_001,Default
02:28:48.539,T3X0_001,Default
02:29:18.803,T3X0_001,Default
02:29:49.067,T3X0_001,Default
02:30:19.331,T3X0_001,Default
02:30:49.580,T3X0_001,Default
02:31:19.875,T3X0_001,Default
02:31:50.154,T3X0_001,Default
02:32:20.418,T3X0_001,Default
02:32:50.682,T3X0_001,Default
02:33:20.946,T3X0_001,Default
02:33:51.210,T3X0_001,Default
02:34:21.506,T3X0_001,Default
02:34:51.785,T3X0_001,Default
02:35:22.065,T3X0_001,Default
02:35:52.329,T3X0_001,Default
02:36:22.608,T3X0_001,Default
02:36:52.872,T3X0_001,Default
02:37:23.152,T3X0_001,Default
02:37:53.432,T3X0_001,Default
02:38:23.696,T3X0_001,Default
02:38:53.960,T3X0_001,Default
02:39:24.255,T3X0_001,Default
02:39:54.534,T3X0_001,Default
02:40:24.814,T3X0_001,Default
02:40:55.062,T3X0_001,Default
02:41:25.342,T3X0_001,Default
02:41:55.622,T3X0_001,Default
02:42:25.917,T3X0_001,Default
02:42:56.165,T3X0_001,Default
02:43:26.429,T3X0_001,Default
02:43:56.678,T3X0_001,Default
02:44:26.957,T3X0_001,Default
02:44:57.221,T3X0_001,Default
02:45:27.516,T3X0_001,Default
02:45:57.765,T3X0_001,Default
02:46:28.029,T3X0_001,Default
02:46:58.293,T3X0_001,Default
02:47:28.557,T3X0_001,Default
02:47:58.821,T3X0_001,Default
02:48:29.100,T3X0_001,Default
02:48:59.364,T3X0_001,Default
02:49:29.628,T3X0_001,Default
02:49:59.892,T3X0_001,Default
02:50:30.172,T3X0_001,Default
02:51:00.436,T3X0_001,Default
02:51:30.700,T3X0_001,Default
02:52:00.964,T3X0_001,Default
02:52:31.244,T3X0_001,Default
02:53:01.476,T3X0_001,Default
